generation,ev,No.1,No.2,No.3,No.4,No.5,No.6,No.7,No.8,No.9,No.10,No.11,No.12,No.13,No.14,No.15,No.16,No.17,No.18,No.19,No.20
12,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1
12,4147,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
12,3448,0,1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,0,1
12,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
12,4110,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
12,3865,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1
12,2057,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
12,2977,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0
12,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
12,2104,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
12,3054,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
12,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
12,3619,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
12,3578,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1
12,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
13,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
13,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1
13,4269,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1
13,4159,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
13,3717,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
13,4417,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,3371,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0
13,3489,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1
13,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,4858,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
13,3054,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
13,4147,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1
14,3120,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
14,4111,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1
14,4773,0,0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1
14,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
14,4375,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1
14,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
14,2750,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
14,2896,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
14,3018,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1
14,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
14,3223,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
14,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
14,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
14,3717,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
14,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
14,3054,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
15,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
15,4372,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,1
15,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0
15,1,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
15,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
15,3963,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1
15,4582,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1
15,4278,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1
15,4152,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1,0,1
15,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1
15,3982,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
15,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
15,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
15,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
15,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
15,3753,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
16,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
16,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
16,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1
16,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1
16,4558,0,0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1
16,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
16,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,0,1
16,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1
16,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1
16,3757,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
16,3982,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
16,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
16,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
16,4802,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
16,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
16,3982,0,1,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1
17,4921,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
17,3519,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0
17,5320,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1
17,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1,0,1
17,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
17,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
17,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
17,3286,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
17,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1
17,3757,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
17,4102,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
17,4102,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1
17,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
17,3757,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
17,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
17,4376,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1
18,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
18,3952,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
18,4952,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1
